Sembol,Birim Fiyat,Alis Maliyeti
ADESE,0.79,1.049
AEFES,30.1,19.13
AFYON,3.59,3.52
AGESA,22.42,13.37
AKBNK,7.55,5
AKCNS,18.34,14.04
AKSGY,1.72,1.89
ALBRK,1.83,1.544
ALMAD,1.51,0.775
ANSGR,6.38,6.63
ASELS,23.32,16.86
ATATP,60.5,24
AYEN,7.41,2.595
BJKAS,4.23,3.36
CEMAS,1.16,1.232
DAGI,2.86,2.595
DGATE,11.95,12.99
DJIST,66.8,45.763
DOCO,1256.7,604
DOKTA,33.16,34.66
DZGYO,2.53,1.81
EKGYO,2.32,1.911
FLAP,2.56,2.419
FORMT,1.11,1.142
GARAN,11.71,7.404
GLDTR,68.6,39.836
GLRYH,2.7,2.768
GLYHO,2.25,2.4
HALKB,4.68,4.33
ICBCT,5.41,6.17
IPEKE,14.78,12.81
ISCTR,7.61,5.098
ISFIN,3.28,3.19
ISGYO,2.91,2.1
ITTFH,1.27,1.38
IZTAR,19.05,4.252
KATMR,1.42,1.3
KOZAA,20.58,13.63
MAKTK,3.24,3.18
MAVI,71.4,44.585
MGROS,42.9,42.86
MRGYO,0.9,1.03
NATEN,45.74,30.77
OZGYO,1.66,1.812
PETKM,9.54,3.54
POLHO,3.09,3.22
PRKME,6.27,5.69
QNBFL,78.85,107.8
RHEAG,1.93,3.29
SAHOL,14.68,8.772
SANKO,9.37,1.67
SISE,14.97,7.3
SKBNK,1.09,1.25
SKTAS,2.48,2.882
SOKM,14.05,11.216
TAVHL,36.24,22.2
TCELL,19.65,13.61
TEKTU,1.36,1.865
TKFEN,22.34,14.379
TSKB,1.55,1.28
TSPOR,7.18,2.558
TTKOM,10.63,6.47
TUPRS,183.2,86.536
ULKER,18.5,22.3
USAK,1.58,1.806
USDTR,1296.9,710.602
VAKBN,3.81,3.765
VAKFN,3.48,1.289
YKBNK,3.61,2.183
