Saat,Ortam ,Bos,El Tepki
9:05,22.9,0.616,0.621
9:20,23.4,0.614,0.62
9:35,23.7,0.613,0.618
9:50,23.9,0.612,0.617
10:05,24.1,0.611,0.616
10:20,24.3,0.61,0.615
10:35,24.5,0.61,0.614
10:50,24.7,0.61,0.614
11:05,24.8,0.609,0.614
11:20,25,0.609,0.613
11:35,25.1,0.609,0.613
11:50,25.2,0.609,0.614
12:05,25.4,0.608,0.613
12:20,25.6,0.608,0.613
12:35,25.7,0.608,0.613
12:50,25.8,0.608,0.613
13:05,25.9,0.608,0.613
13:20,26,0.607,0.612
13:35,26.1,0.607,0.612
13:50,26.2,0.607,0.612
14:05,26.3,0.607,0.612
14:20,26.5,0.607,0.612
14:35,26.5,0.607,0.612
14:50,26.5,0.606,0.611
15:05,26.6,0.606,0.611
15:20,26.6,0.606,0.611
15:35,26.7,0.606,0.611
15:50,26.7,0.606,0.611
16:05,26.8,0.606,0.611
16:20,26.9,0.606,0.61
